code,name
JMCAT0000,Electronics - Standard
JMCAT0001,Compact Tools
JMCAT0002,Furniture
JMCAT0003,Clothing - Compact
JMCAT0004,Premium Sports
JMCAT0005,Books
JMCAT0006,Toys - Vintage
JMCAT0007,Basic Food
JMCAT0008,Garden
JMCAT0009,Automotive - Premium
JMCAT0010,Modern Health
JMCAT0011,Beauty
JMCAT0012,Jewelry - Modern
JMCAT0013,Compact Music
JMCAT0014,Office
JMCAT0015,Pet - Standard
JMCAT0016,Premium Baby
JMCAT0017,Art
JMCAT0018,Industrial - Deluxe
JMCAT0019,Deluxe Medical
JMCAT0020,Electronics
JMCAT0021,Tools - Deluxe
JMCAT0022,Premium Furniture
JMCAT0023,Clothing
JMCAT0024,Sports - Deluxe
JMCAT0025,Classic Books
JMCAT0026,Toys
JMCAT0027,Food - Elite
JMCAT0028,Superior Garden
JMCAT0029,Automotive
JMCAT0030,Health - Classic
JMCAT0031,Superior Beauty
JMCAT0032,Jewelry
JMCAT0033,Music - Standard
JMCAT0034,Deluxe Office
JMCAT0035,Pet
JMCAT0036,Baby - Professional
JMCAT0037,Vintage Art
JMCAT0038,Industrial
JMCAT0039,Medical - Basic
JMCAT0040,Standard Electronics
JMCAT0041,Tools
JMCAT0042,Furniture - Advanced
JMCAT0043,Deluxe Clothing
JMCAT0044,Sports
JMCAT0045,Books - Professional
JMCAT0046,Advanced Toys
JMCAT0047,Food
JMCAT0048,Garden - Advanced
JMCAT0049,Basic Automotive
JMCAT0050,Health
JMCAT0051,Beauty - Deluxe
JMCAT0052,Basic Jewelry
JMCAT0053,Music
JMCAT0054,Office - Modern
JMCAT0055,Premium Pet
JMCAT0056,Baby
JMCAT0057,Art - Deluxe
JMCAT0058,Standard Industrial
JMCAT0059,Medical
JMCAT0060,Electronics - Elite
JMCAT0061,Premium Tools
JMCAT0062,Furniture
JMCAT0063,Clothing - Vintage
JMCAT0064,Vintage Sports
JMCAT0065,Books
JMCAT0066,Toys - Superior
JMCAT0067,Premium Food
JMCAT0068,Garden
JMCAT0069,Automotive - Standard
JMCAT0070,Deluxe Health
JMCAT0071,Beauty
JMCAT0072,Jewelry - Basic
JMCAT0073,Advanced Music
JMCAT0074,Office
JMCAT0075,Pet - Superior
JMCAT0076,Basic Baby
JMCAT0077,Art
JMCAT0078,Industrial - Standard
JMCAT0079,Elite Medical
JMCAT0080,Electronics
JMCAT0081,Tools - Advanced
JMCAT0082,Classic Furniture
JMCAT0083,Clothing
JMCAT0084,Sports - Superior
JMCAT0085,Premium Books
JMCAT0086,Toys
JMCAT0087,Food - Premium
JMCAT0088,Classic Garden
JMCAT0089,Automotive
JMCAT0090,Health - Classic
JMCAT0091,Classic Beauty
JMCAT0092,Jewelry
JMCAT0093,Music - Superior
JMCAT0094,Advanced Office
JMCAT0095,Pet
JMCAT0096,Baby - Elite
JMCAT0097,Advanced Art
JMCAT0098,Industrial
JMCAT0099,Medical - Premium
JMCAT0100,Professional Electronics
JMCAT0101,Tools
JMCAT0102,Furniture - Premium
JMCAT0103,Deluxe Clothing
JMCAT0104,Sports
JMCAT0105,Books - Basic
JMCAT0106,Professional Toys
JMCAT0107,Food
JMCAT0108,Garden - Superior
JMCAT0109,Modern Automotive
JMCAT0110,Health
JMCAT0111,Beauty - Professional
JMCAT0112,Premium Jewelry
JMCAT0113,Music
JMCAT0114,Office - Standard
JMCAT0115,Basic Pet
JMCAT0116,Baby
JMCAT0117,Art - Professional
JMCAT0118,Compact Industrial
JMCAT0119,Medical
JMCAT0120,Electronics - Basic
JMCAT0121,Vintage Tools
JMCAT0122,Furniture
JMCAT0123,Clothing - Professional
JMCAT0124,Premium Sports
JMCAT0125,Books
JMCAT0126,Toys - Elite
JMCAT0127,Standard Food
JMCAT0128,Garden
JMCAT0129,Automotive - Standard
JMCAT0130,Professional Health
JMCAT0131,Beauty
